poly_id,elevation_zone,mean,std,year
250,1500,0.1138661438320819,0.0030599459136722157,2025
251,1500,0.10812315011774612,0.011791879088300827,2025
252,1000,0.14212002612442123,0.003070972133860286,2025
253,1000,0.12257557807848962,0.0032259173932256205,2025
254,1500,0.1456177895737615,0.0015183329725911227,2025
255,1000,0.10005832187247007,0.009829882398414815,2025
256,1500,0.10257408911116508,0.0149979044407547,2025
257,1000,0.12941171138165675,0.0035560580267822587,2025
258,2000,0.1237032695534922,0.003728026601836591,2025
259,1500,0.11398443289967068,0.017535296719316584,2025
260,1500,0.14593300924430247,0.00714737436051993,2025
261,1500,0.10291892198892394,0.012388216373220075,2025
262,1500,0.07374223414896619,0.006145328160390671,2025
263,2000,0.11842539041961246,0.0022532178620171734,2025
264,1000,0.1331863081256963,0.006735849911313561,2025
265,2000,0.11257015723584289,0.0025895515966336837,2025
266,1500,0.10352569117793219,0.010748229590311057,2025
267,1000,0.12216062579466476,0.007946980907269984,2025
268,1500,0.1437346201080534,0.004513090333915855,2025
269,1500,0.0983230138004072,0.0031324438813057354,2025
270,2000,0.10161099216711107,0.007027389832310787,2025
271,2000,0.10008281312560979,0.00701983155661269,2025
272,1500,0.14537677165603316,0.004761302809568184,2025
273,1500,0.09922142748106998,0.001966854347411332,2025
274,1000,0.09556295605539178,0.0005402475526052831,2025
275,1500,0.10430218822421974,0.0001538824956070703,2025
276,1500,0.09649902465957512,0.0020911637540590384,2025
277,1500,0.13458001208910295,0.012117077542732356,2025
278,1000,0.13932109729315922,0.002611211183003116,2025
279,2500,0.18344888081196212,0.018897614533737266,2025
280,2500,0.1780092002990794,0.013781464693848096,2025
281,2500,0.2182835084942972,0.024032992619732615,2025
282,2500,0.1886284623008408,0.017004463864256858,2025
283,2000,0.09613358739097229,0.0010651072857169037,2025
284,2000,0.09166870527339728,0.0023362732819929496,2025
285,2000,0.13258524684500825,0.0063199393241308,2025
286,2000,0.13713671921324758,0.00365517019880904,2025
287,2500,0.16611512246207694,0.010869711057125161,2025
288,2000,0.10439230763789607,0.006406321553562575,2025
289,2000,0.20734214540517443,0.0024700318938354463,2025
290,2500,0.2160157494319331,0.016495128111781103,2025
291,2500,0.1948309214524374,0.008553200627912799,2025
292,1500,0.10663613258478033,0.008064060445292235,2025
293,2000,0.19406670481955388,0.025190467235785705,2025
294,2500,0.20715360655163967,0.012109333986630735,2025
295,2500,0.22921370486179515,0.008893013677098157,2025
296,2500,0.20658982218315736,0.013108110413314805,2025
297,2500,0.27266918332124007,0.03689377641388095,2025
298,1500,0.11717873866329481,0.01286740474939334,2025
299,2500,0.19932765611413936,0.01090917755041987,2025
300,2500,0.2074669105946198,0.003987836802628171,2025
301,1500,0.09736297264364026,0.01094252963164893,2025
302,2500,0.2054348815091882,0.010709770164665513,2025
303,2000,0.12372831449257933,0.005261649949230668,2025
304,2000,0.12543435832529792,0.007514610044148964,2025
305,2500,0.26076084128363686,0.019181974147975348,2025
306,1500,0.1014010441206937,0.0036855957464359762,2025
307,1500,0.11291016431592171,0.0029901605955831925,2025
308,2500,0.21012561453985273,0.006415561648097012,2025
309,2500,0.18411461726392173,0.007334941610472564,2025
310,1500,0.10502332800648374,0.00882366404601885,2025
311,2500,0.22831682967314393,0.018386827583401946,2025
312,1500,0.10230509870332369,0.0038026316909110834,2025
313,2500,0.19663501989596927,0.016318407269610313,2025
314,2000,0.21717830760144224,0.03320635647742432,2025
315,2500,0.18232195253918293,0.0062756137092161305,2025
316,2000,0.18908244784505673,0.00701803378169239,2025
317,2000,0.21955900526726366,0.00495090116694967,2025
318,2500,0.18003787392697154,0.020540392574081096,2025
319,1500,0.11121466803913044,0.00636238322436648,2025
320,1500,0.12221416777116043,0.01145603364996702,2025
321,2000,0.2108105766062353,0.00040268886741436083,2025
322,2000,0.1912641403817841,0.005372810295388791,2025
323,1500,0.11419911305344854,0.01038947534112527,2025
324,1500,0.12087066768592825,0.005656639836521336,2025
325,1500,0.09955482415724558,0.00763932725463215,2025
326,1500,0.10541797233521931,0.0031321880894565808,2025
327,1500,0.10602857769418972,0.005201044510906962,2025
328,2500,0.18559782853599582,0.00293987855888088,2025
329,2000,0.13534725917066226,0.004420338131840209,2025
330,2500,0.28320951883581535,0.0244239310400394,2025
331,2000,0.23880074779657356,0.046343563387540525,2025
332,2000,0.13998801025696322,0.010665564185546032,2025
333,2500,0.3070045826319889,0.026944537255417466,2025
334,2500,0.20513710815657818,0.023972583804614114,2025
335,1500,0.07947310369079778,0.00872075148634002,2025
336,2000,0.18722845556031995,0.005961002478855071,2025
337,2000,0.177152851033899,0.023217799825361846,2025
338,2500,0.20797277778806425,0.0047687705121940765,2025
339,2000,0.2465046837262067,0.021688216022525443,2025
340,2000,0.24581856716268083,0.04907364904205527,2025
341,2000,0.17212005176249778,0.014215207084725519,2025
342,2500,0.20064922335208824,0.0014645337881849592,2025
343,1500,0.161684587048838,0.0017331575312312109,2025
344,2000,0.175514291409275,0.016744217377304086,2025
345,2500,0.19629256257799343,0.04056920579062427,2025
346,2000,0.2063775293199802,0.010696519152445188,2025
347,2000,0.23268638055034338,0.03655076099392937,2025
348,2000,0.1829318425328159,0.010026363338369005,2025
349,2000,0.1951599835795116,0.0009331794558002232,2025
350,2500,0.21068825523463056,0.016215515038897975,2025
351,2000,0.21402748339175284,0.015270509832443995,2025
352,2500,0.19581886099990303,0.013553888149828386,2025
353,2500,0.18921206575956065,0.006544038791365592,2025
354,1500,0.07817168665885699,0.0008449412750918255,2025
355,2500,0.25498357160945356,0.05158152737881813,2025
356,2000,0.21697742298435052,0.010326651551982324,2025
357,1500,0.16129843797234528,0.004994698114329395,2025
358,1500,0.15990247942863275,0.004789741553050107,2025
359,1500,0.10796043453729848,0.00605831118203846,2025
360,2000,0.0834011394331946,0.007467061757234809,2025
361,1000,0.11096062249622363,0.0026612117184365517,2025
362,2500,0.2369261475045873,0.01759637301918218,2025
363,2000,0.0743251820864064,0.0031524666456027705,2025
364,2500,0.23761955949999583,0.00980575996112702,2025
365,2000,0.24268610675440447,0.03149595675902071,2025
366,2500,0.3063932547882263,0.02429769847958241,2025
367,2500,0.2602301482951468,0.027002840645721185,2025
368,2500,0.20469490414382777,0.005598665525303394,2025
369,1500,0.10811858340916959,0.01945749051961356,2025
370,1500,0.15158984873268458,0.009438110940311231,2025
371,2500,0.20879383659926132,0.006769048709790624,2025
372,2500,0.19535721024754352,0.0035348661490350324,2025
373,2000,0.20639844326775966,0.005079478923628049,2025
374,2500,0.20347641927934115,0.006915954387219408,2025
375,2000,0.21193007088761293,0.02063018971225324,2025
376,2000,0.2131323013325419,0.028571053172808763,2025
377,2500,0.2004733580185737,0.002905858210154832,2025
378,2500,0.19935390134970732,0.000516549239337652,2025
379,2500,0.18167071895606685,0.023521185787215713,2025
380,2500,0.19075468711728416,0.01304711198234362,2025
381,2000,0.2098471842382973,0.010929668440983538,2025
382,2000,0.16410806613810833,0.014312798530855467,2025
383,2500,0.20312052947498113,0.009821659092731604,2025
384,2000,0.16934706940572433,0.019389788947557416,2025
385,2500,0.17150527485257647,0.005321154969263609,2025
386,2500,0.2517674285494157,0.011616357010533174,2025
387,2000,0.19995805653825838,0.006660156360563742,2025
388,2000,0.2212501800534138,0.01871740924671574,2025
389,2500,0.17095366160258038,0.01265385619607202,2025
390,2000,0.20193241736472903,0.008191981755001932,2025
391,2000,0.2265365987745268,0.023864553381184685,2025
